,date,Other Water_e_track,Pacific Ocean_e_track,Gulf of California_e_track,Atlantic Ocean_e_track,Gulf of Mexico_e_track,Other Land_e_track,Western US_e_track,Southern US_e_track,Midwestern US_e_track,Colorado_e_track,Eastern Plains_e_track,Front Range_e_track,Pikes Peak_e_track,Arkansas Basin_e_track,High Mountain Valley_e_track
3862,2010-07-29 00:00:00,161203.1800417893,3277781.4664017046,798808.0804138184,2556949.2285516663,2689972.2370653152,2805072.3694535275,7366622.042999379,2364930.4552591145,54143.96612209082,4490698.807010651,39198.770641326904,1657922.7002563477,51114.78973388672,59152.669593811035,311934.30908203125
3863,2010-07-30 00:00:00,175309.12149574197,2929144.6620722553,976472.5667877197,2306819.167836269,3707422.1483488083,2478952.3860848066,6478587.528734576,1450039.3556062728,264545.2650747746,4112612.017868042,670035.1169433594,1916672.9326171875,337800.95878601074,84043.7699584961,269330.6994628906
3864,2010-07-31 00:00:00,182399.618090104,2469566.278641983,535697.4379701614,2341701.903665537,4144694.1855449677,2800295.0178679544,6565733.267657088,401845.48825347424,22225.749438256025,3676701.936061859,36864.17980611324,369814.87756347656,155808.7554321289,10086.324924468994,197876.44140625
3865,2010-08-01 00:00:00,183042.98475623052,2395248.9021359603,312293.4800682068,2430445.548110863,3901597.6466846466,3673069.241402035,6687874.486616579,235433.49465724826,12243.527896106243,3793882.585454941,57718.38815689087,1795768.9047851562,21603.237678527832,1530.369104385376,377153.96990966797
3866,2010-08-02 00:00:00,165406.90646025524,2585523.2678211955,262746.92808532715,2295974.17245448,4135993.6552448273,4599319.652487229,4907739.24280433,376084.92343734205,18224.09992998466,4976603.782922745,69704.01755905151,1385303.0146484375,198454.30438232422,26069.856525421143,408941.7177734375
3867,2010-08-03 00:00:00,167648.16943474827,2625929.7559096427,241151.5686416626,1902104.1573008276,3328692.1252555847,5461096.316403973,5041596.053139081,708756.9425719678,35297.90972141549,5235899.529601097,130758.33322143555,2390789.783203125,204408.3595275879,9559.538611412048,298487.0578613281
3868,2010-08-04 00:00:00,170208.98833885902,2186624.0557642626,305738.2583656311,1935061.581937992,1662280.809682846,7332238.156127182,2583355.6029650588,1044191.7419205159,67964.23123458028,6351335.306434631,71352.36687469482,1438297.6611328125,463817.54443359375,83958.2388381958,924076.921875
3869,2010-08-05 00:00:00,149564.70819790772,2295100.2362071653,649512.6714248657,2202416.8283118927,470042.5322256088,8684000.437314648,1618908.524878291,756870.2018989474,77674.48970010877,4584695.389129162,139288.50915837288,3316930.849609375,837043.9288330078,57991.01249694824,651345.462890625
3870,2010-08-06 00:00:00,150726.90992750454,2678069.3413339383,1066129.9039001465,2306099.8707240066,290953.36286354065,7371930.396030156,3729564.675750873,363312.3411024511,24308.30191706121,1832499.9874491394,5166.120440661907,1213129.2602539062,131180.88724195957,2696.312608510256,308185.9401702881
3871,2010-08-07 00:00:00,96476.70628333019,2973479.5737803075,458369.8006668091,2144517.1203625957,345969.5740222931,3800880.4919317095,7784912.49341746,235947.15998223424,3608.7443219944835,1345011.3266484737,11753.058991730213,356725.92805480957,32243.290939331055,4923.938016653061,252335.6231689453
3872,2010-08-08 00:00:00,99282.54681602548,3424378.3931973474,299760.51962280273,1834765.8945406673,560805.8741774559,1715690.1829824522,7436904.104323778,310145.58432739973,57223.01910504699,7322178.786921501,425708.74645996094,1644165.8740234375,460201.3269042969,493344.0867919922,900175.9716796875
3873,2010-08-09 00:00:00,125437.73617693616,4262007.9367178455,192786.83028793335,1445186.1508789652,786320.3544323444,1979299.8423606986,1162371.9878051784,279406.6006242335,22396.22955531627,6912393.552510858,185445.24106502533,3096956.01171875,2512378.2666015625,560454.2006225586,1801171.28515625
3874,2010-08-10 00:00:00,123476.80908189452,4531189.792018221,183402.5662536621,1163871.605209998,819240.9091550708,1947482.5109281868,605482.8038331217,375058.5852808561,4381.167836755514,156513.65999299288,77.53310483694077,135872.50385856628,32026.090503036976,93.24169147014618,26916.714834213257
3875,2010-08-11 00:00:00,121370.9730575921,4706808.2041293485,188461.7508392334,1016241.2039947406,662537.5173515081,1965876.3019539057,1438506.6882671583,285327.08329939283,5527.607560560107,94527.70442301035,148.36923384666443,24794.77582192421,85.42298287153244,68.4011472761631,15236.776740312576
3876,2010-08-12 00:00:00,157501.22174468025,5249930.841359709,318604.9502258301,916071.0183547689,527299.5080617666,2386586.2500927215,1632846.6655452272,223694.89263371378,11168.279033124447,515544.95205518603,855.8585658073425,95557.48016166687,31761.879411935806,434.483821362257,120729.89013671875
3877,2010-08-13 00:00:00,178733.20434950592,3737074.907913021,617159.3253097534,739244.042899586,993073.1820383072,2721150.127564205,2411012.9261736386,259143.27307665348,117123.32562609017,307784.1054902077,12930.51135635376,22528.84756088257,8474.592084407806,24030.73037815094,12800.59243774414
3878,2010-08-14 00:00:00,108008.23986292926,2282398.7402817,586297.2484741211,395905.10866307444,1375676.7208525538,2330913.4210747033,3294057.2057388863,384687.8983184397,227323.36496564746,2270329.9234657288,181033.54425048828,342906.41345214844,94387.30332183838,91143.38531112671,123920.95654296875
3879,2010-08-15 00:00:00,97629.22563593906,1759353.6303841132,704266.7780456543,314145.7005352967,899185.6597844362,2400993.4270839146,2442216.8031448955,376149.9012523815,52004.02738258988,2455519.6274108887,84029.30641937256,774547.7822265625,301581.68127441406,41971.85543823242,270817.91735839844
3880,2010-08-16 00:00:00,83984.12784431595,1929415.4092420929,626618.3831481934,280915.0568518011,438914.61746558547,1944649.5243425865,1893902.4774784425,375712.86686089635,8123.106620192528,2863082.526130736,15643.115807890892,776401.9205322266,137087.26370191574,6075.1050607562065,443492.20556640625
3881,2010-08-17 00:00:00,70992.88523318288,2039888.3565114127,351850.1139526367,281982.6998442205,321867.6721545458,1368927.3701119246,2495708.950777668,248677.66160156578,4202.759501382709,331094.8751683235,6188.803699731827,283683.0067138672,552.8114590644836,357.70579767227173,10027.186533927917
3882,2010-08-18 00:00:00,70469.42635319379,2408790.3786563603,265252.9855041504,277258.4389161159,182858.27563905716,1536731.4723571825,1861616.252272449,127531.35446971655,7560.314239650965,447256.17051941156,223.37055349349976,18969.21146440506,913.9858121871948,319.4382925629616,10284.599098205566
3883,2010-08-19 00:00:00,76796.69305122258,3004080.7381579727,439980.97490501404,270329.83675404824,61396.315542161465,1362186.892212826,1440967.544009089,82128.90058684349,10741.261158764362,1974580.918142438,13976.67700433731,548556.9017333984,32397.11700296402,325.36228573322296,277928.2561035156
3884,2010-08-20 00:00:00,80339.57000967624,3495729.278287179,808686.0557746887,263479.8364037703,59112.53357236087,863709.1251173872,688740.701258846,123174.73371970654,15931.871036916971,127107.33859625459,1022.36041867733,59578.27682495117,881.373885512352,292.72665444016457,21153.69876384735
3885,2010-08-21 00:00:00,65265.65259449598,2842846.3974067043,877100.9092681408,237230.68859907548,116854.30300071836,639021.4045105801,1243099.1391044543,60331.700468838215,16101.981228232384,6518.913736306131,72.75671148300171,1848.0639992952347,51.602659091353416,41.31911129504442,2829.012617111206
3886,2010-08-22 00:00:00,28813.61265995468,669686.5922642504,47505.0086312294,249748.32809978878,73031.05897861719,203914.47124363732,2574900.4852494313,47678.171821177006,17061.037883758545,153202.16941727698,79.95329719781876,576.052387714386,195.1823277771473,217.70378808677197,1607.791540145874
3887,2010-08-23 00:00:00,20520.63492844096,403144.3699560644,6855.796124219894,293437.4774196205,30078.64201578498,193483.89604567073,1748431.4366504145,62300.08269619942,137039.63995105028,7752135.765779495,363707.5602645874,3326818.9907226562,193980.1273174286,1459.9976625442505,1202538.5840454102
3888,2010-08-24 00:00:00,20061.731354074313,500992.5595946418,9418.358149051666,362645.90038289584,17979.922097206116,225188.60989283878,220190.7444155335,56491.85790371895,48736.83704894781,427548.3146972656,15113.535989761353,472414.7909851074,19733.17257499695,1271.84019613266,100240.31674194336
3889,2010-08-25 00:00:00,26866.711154069755,687270.8610412009,19058.65601825714,417807.18854132836,13273.220128417015,230348.8905252147,90850.51817966934,38828.46762633324,27408.032185852528,20344.31150186062,365.50395107269287,6389.706188201904,397.6536600589752,355.11343574523926,813.1304714679718
3890,2010-08-26 00:00:00,34007.55423261568,1133159.5405690826,38045.96269798279,469288.7708340143,26030.689218074083,200649.30742675407,49638.082860963186,17783.33004912734,32986.579757630825,26405.091513693333,363.1517860889435,7358.613782644272,78.20935294032097,139.0041240155697,325.3115293979645
3891,2010-08-27 00:00:00,44048.363639702846,1134950.978827489,76612.76073265076,520988.0234496922,32542.27030093968,223496.89451508247,60387.84208033851,7621.257327336818,29162.918223917484,19702.883450900204,48.449407160282135,14805.409192353487,51.232602110132575,24.20650374609977,4548.386618256569
3892,2010-08-28 00:00:00,50360.744331448295,1026289.2180686564,122155.89323806763,562000.7538826555,36274.4729693979,293083.42359197506,204688.8987861498,7414.940362744499,10576.404329361394,57306.52872333722,114.23023717850447,5653.080646038055,327.41670655459166,8.624957345891744,13189.30714225769
3893,2010-08-29 00:00:00,52007.33829188455,929352.388140239,148318.43160629272,581704.7673248323,146282.07198998332,295615.09936895693,494855.3262142725,8738.138858158141,3562.6776466481388,193999.4593762532,225.15658324956894,37488.55148880184,30561.16408495605,188.0507108978927,61235.5654296875
3894,2010-08-30 00:00:00,49937.29172217281,433775.1286307189,264886.64666461945,612603.9365305352,244428.34346479177,281859.64303822914,578736.1872790745,17942.2101598531,1268.31009067595,124371.14649721235,438.9562277793884,45991.548877716064,3033.167977154255,154.39737155288458,17590.24547958374
3895,2010-08-31 00:00:00,30764.976051251826,410268.8674339765,8957.71062374115,600780.0667796383,215522.3211941123,242164.8006994875,187638.03256372825,44269.143406793475,4377.0503492783755,986220.8003035188,22633.93519973755,344907.27056884766,31409.069368362427,897.4904413819313,165859.01663208008
3896,2010-09-01 00:00:00,27803.4028604364,446443.4975185602,4479.812773942947,602339.514811549,128314.64657223225,265903.2007494055,106522.74731575379,97462.2454264313,3200.365121908486,14965.577423155308,645.5336037874222,11017.026515007019,1308.1358796358109,1075.029037296772,1131.6770095825195
3897,2010-09-02 00:00:00,32896.17575578327,525216.3622713318,10216.63421344757,634695.7455585174,78502.63217872381,304335.3574865318,58608.83186204858,175156.91961984336,48111.42633789778,24336.552072003484,1284.0414209365845,7653.013463973999,280.30746203660965,618.228967487812,521.0921640396118
3898,2010-09-03 00:00:00,37722.557830145764,615818.451378989,33243.639560222626,641025.4017171726,48681.59287750721,415487.4791407618,38920.46192135659,220589.05641060043,14115.665113843977,2515.4233064036816,87.21417391300201,1177.0384452342987,24.3681625649333,55.30339371226728,384.2855469584465
3899,2010-09-04 00:00:00,42326.25214309528,653413.4643843541,79312.01768302917,676137.0177879967,61436.76781332493,530959.4328659818,56343.67589505604,42542.4568872489,6615.537365883589,11369.850593749434,63.98223799467087,2286.6327649354935,20.974275317043066,43.30990443378687,516.7707875072956
3900,2010-09-05 00:00:00,52316.09840845322,671672.412404283,104014.37230873108,780880.0453595242,69917.51586771011,528154.0504021695,87640.2753373501,29730.499510735273,6067.442684091628,5508.310265284032,57.58037722110748,199.66218316555023,19.279203057289124,47.50381809845567,34.69737860560417
3901,2010-09-06 00:00:00,56206.35056813269,723754.753199102,83747.59187698364,859740.5598929715,78152.48005056381,482710.50232717925,167100.09720432147,55251.64044255018,7378.444684833288,5895.53018938005,184.93636095523834,521.053785443306,52.987216889858246,227.60838375985622,131.6292700767517
3902,2010-09-07 00:00:00,57217.651441506525,750606.3333912266,50035.13430213928,786032.1823480007,140237.02551174164,423971.53293697914,294716.0669027674,63279.4885097146,32090.71467652917,41239.11897081137,162.55003952980042,631.23046708107,368.1512050628662,1275.9674849510193,1218.6974868774414
3903,2010-09-08 00:00:00,57926.80388789301,801834.55969737,35313.12936401367,560305.8142902103,314898.8869533539,451237.352130311,98580.72929516231,76666.58249139506,37397.64230078459,377840.3997730315,177.53538945317268,108525.25463318825,24779.246798992157,524.7381064891815,91655.71813964844
3904,2010-09-09 00:00:00,61289.31695952353,860938.2970887477,56800.495262145996,402543.0212724824,374123.79250717163,467459.8625967441,81142.51076802601,165530.86628213525,15865.369400024414,5018.5653984844685,43.39961734414101,2930.2782821655273,127.0672572851181,315.61684280633926,682.0456118583679
3905,2010-09-10 00:00:00,51127.898728039676,882495.4852191068,81878.74751663208,447557.507222642,383136.15215301514,468329.83910349937,61046.22467763399,233447.00956115127,40720.99770857394,30227.997097730637,1005.7508563995361,11538.014726638794,593.04532289505,453.9858775138855,3671.340887069702
3906,2010-09-11 00:00:00,48834.52010705489,1004441.6890077479,58835.45470619202,604897.893142571,354319.7759401798,481333.0083703367,47449.35084736992,198098.05444001406,94207.40058241785,3072.389422416687,515.5827088356018,461.8115358352661,196.1059092581272,273.8744234740734,451.1647924184799
3907,2010-09-12 00:00:00,57972.59399574947,1227840.2805995503,81070.74861717224,682199.2364012799,279158.7541155815,505794.3356384027,56862.277258206675,239940.5974054113,47790.62879741192,1009.6544780656695,143.33610141277313,57.416120290756226,47.755060374736786,77.2843451872468,32.06649902462959
3908,2010-09-13 00:00:00,67518.08046678032,1310620.4254909647,56475.742953300476,916978.8379092398,438173.5895073414,494709.1997016203,90819.40428212691,125146.53220045567,33787.138012200594,10397.126098431647,52.952856689691544,1440.7975852191448,29.72915981709957,66.97435573488474,658.9670360684395
